Time(s),CH1(V)
-5.4924E-05,-2.017232E-01
-5.4924E-05,-2.058272E-01
-5.4924E-05,-2.017232E-01
-5.4923E-05,-1.976192E-01
-5.4923E-05,-1.976192E-01
-5.4923E-05,-2.017232E-01
-5.4923E-05,-1.935151E-01
-5.4923E-05,-1.853070E-01
-5.4923E-05,-1.729949E-01
-5.4923E-05,-1.647868E-01
-5.4923E-05,-1.524747E-01
-5.4923E-05,-1.442666E-01
-5.4923E-05,-1.360586E-01
-5.4922E-05,-1.155384E-01
-5.4922E-05,-9.501815E-02
-5.4922E-05,-7.860199E-02
-5.4922E-05,-6.628986E-02
-5.4922E-05,-5.808179E-02
-5.4922E-05,-4.166562E-02
-5.4922E-05,-1.704139E-02
-5.4922E-05,-6.252248E-04
-5.4922E-05,1.989498E-02
-5.4922E-05,4.041518E-02
-5.4921E-05,5.683134E-02
-5.4921E-05,7.324750E-02
-5.4921E-05,9.376770E-02
-5.4921E-05,1.142879E-01
-5.4921E-05,1.307041E-01
-5.4921E-05,1.471202E-01
-5.4921E-05,1.553283E-01
-5.4921E-05,1.594323E-01
