Time(s),CH1(V),CH2(V),CH3(V),CH4(V)
-1.9940E-04,1.199864E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,3.039176E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,5.082856E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,7.126536E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,8.352744E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,9.578952E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,1.121390E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,1.284884E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,1.387068E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,1.489252E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,1.519907E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,1.550562E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,1.509689E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,1.468815E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,1.315539E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,1.162263E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,9.783320E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,7.944008E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,5.695960E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,3.447912E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,1.506416E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-4.350803E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-2.478760E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-4.522441E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-5.033360E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-5.544281E-02,4.757636E-01,4.804238E-01,4.602837E-01
